|-----|--------|------------|-----------------|
| id  | amount | date       | incomesource_id |
|-----|--------|------------|-----------------|
|  23 |    830 | 2021-05-13 |              14 |
|-----|--------|------------|-----------------|
|  24 |    209 | 2021-05-12 |              27 |
|-----|--------|------------|-----------------|
|  25 |   1081 | 2021-04-16 |              14 |
|-----|--------|------------|-----------------|
|  26 |     83 | 2021-04-16 |              13 |
|-----|--------|------------|-----------------|
|  27 |    605 | 2021-09-17 |              14 |
|-----|--------|------------|-----------------|
|  28 |    570 | 2021-08-19 |              14 |
|-----|--------|------------|-----------------|
|  29 |    561 | 2021-07-22 |              14 |
|-----|--------|------------|-----------------|
|  30 |    987 | 2021-06-24 |              14 |
|-----|--------|------------|-----------------|
|  31 |   1246 | 2021-06-23 |              15 |
|-----|--------|------------|-----------------|
|  32 |    834 | 2021-05-26 |              15 |
|-----|--------|------------|-----------------|
|  33 |     20 | 2021-05-17 |              13 |
|-----|--------|------------|-----------------|
|  34 |   1074 | 2021-05-27 |              14 |
|-----|--------|------------|-----------------|
|  35 |   1196 | 2021-04-28 |              27 |
|-----|--------|------------|-----------------|
|  36 |     41 | 2021-04-30 |              13 |
|-----|--------|------------|-----------------|
|  37 |    830 | 2021-04-29 |              14 |
|-----|--------|------------|-----------------|
|  38 |    795 | 2021-10-01 |              14 |
|-----|--------|------------|-----------------|
|  39 |    589 | 2021-09-02 |              14 |
|-----|--------|------------|-----------------|
|  40 |    581 | 2021-08-05 |              14 |
|-----|--------|------------|-----------------|
|  41 |    464 | 2021-07-29 |              22 |
|-----|--------|------------|-----------------|
|  42 |    474 | 2021-07-08 |              14 |
|-----|--------|------------|-----------------|
|  43 |   1734 | 2021-06-09 |              15 |
|-----|--------|------------|-----------------|
|  44 |    419 | 2021-06-11 |              14 |
|-----|--------|------------|-----------------|
|  45 |     85 | 2021-05-09 |              17 |
|-----|--------|------------|-----------------|
|  46 |   1000 | 2021-04-15 |              28 |
|-----|--------|------------|-----------------|
|  47 |     85 | 2021-04-16 |              17 |
|-----|--------|------------|-----------------|
|  48 |   1195 | 2021-09-16 |              16 |
|-----|--------|------------|-----------------|
|  49 |    540 | 2021-09-08 |              28 |
|-----|--------|------------|-----------------|
|  50 |    723 | 2021-08-11 |              18 |
|-----|--------|------------|-----------------|
|  51 |   1195 | 2021-08-19 |              16 |
|-----|--------|------------|-----------------|
|  52 |    150 | 2021-08-15 |              17 |
|-----|--------|------------|-----------------|
|  53 |   1195 | 2021-07-22 |              16 |
|-----|--------|------------|-----------------|
|  54 |     85 | 2021-07-18 |              17 |
|-----|--------|------------|-----------------|
|  55 |   1195 | 2021-06-24 |              16 |
|-----|--------|------------|-----------------|
|  56 |     85 | 2021-06-22 |              17 |
|-----|--------|------------|-----------------|
|  57 |     85 | 2021-05-23 |              17 |
|-----|--------|------------|-----------------|
|  58 |      0 | 2021-04-30 |              26 |
|-----|--------|------------|-----------------|
|  59 |    150 | 2021-04-30 |              28 |
|-----|--------|------------|-----------------|
|  60 |   1635 | 2021-09-22 |              18 |
|-----|--------|------------|-----------------|
|  61 |   1195 | 2021-09-30 |              16 |
|-----|--------|------------|-----------------|
|  62 |   1895 | 2021-09-21 |              19 |
|-----|--------|------------|-----------------|
|  63 |    150 | 2021-09-26 |              17 |
|-----|--------|------------|-----------------|
|  64 |     75 | 2021-09-02 |              17 |
|-----|--------|------------|-----------------|
|  65 |   1195 | 2021-09-02 |              16 |
|-----|--------|------------|-----------------|
|  66 |    625 | 2021-09-02 |              18 |
|-----|--------|------------|-----------------|
|  67 |   1195 | 2021-08-05 |              16 |
|-----|--------|------------|-----------------|
|  68 |     85 | 2021-08-01 |              17 |
|-----|--------|------------|-----------------|
|  69 |    412 | 2021-06-30 |              29 |
|-----|--------|------------|-----------------|
|  70 |   1200 | 2021-07-08 |              16 |
|-----|--------|------------|-----------------|
|  71 |    125 | 2021-06-01 |              29 |
|-----|--------|------------|-----------------|
|  72 |     75 | 2021-06-06 |              17 |
|-----|--------|------------|-----------------|
|  73 |    478 | 2021-06-10 |              16 |
|-----|--------|------------|-----------------|
|  74 |   1557 | 2021-05-12 |              25 |
|-----|--------|------------|-----------------|
|  75 |   1557 | 2021-04-14 |              25 |
|-----|--------|------------|-----------------|
|  76 |   1556 | 2021-06-23 |              25 |
|-----|--------|------------|-----------------|
|  77 |   1557 | 2021-05-26 |              25 |
|-----|--------|------------|-----------------|
|  78 |   1557 | 2021-04-28 |              25 |
|-----|--------|------------|-----------------|
|  79 |   3780 | 2021-09-30 |              11 |
|-----|--------|------------|-----------------|
|  80 |   3780 | 2021-08-30 |              11 |
|-----|--------|------------|-----------------|
|  81 |    171 | 2021-07-30 |              12 |
|-----|--------|------------|-----------------|
|  82 |   1123 | 2021-07-07 |              25 |
|-----|--------|------------|-----------------|
|  83 |   1557 | 2021-06-09 |              25 |
|-----|--------|------------|-----------------|
|  84 |   1752 | 2021-05-13 |              21 |
|-----|--------|------------|-----------------|
|  85 |   1751 | 2021-04-14 |              21 |
|-----|--------|------------|-----------------|
|  86 |   1752 | 2021-09-16 |              21 |
|-----|--------|------------|-----------------|
|  87 |   2625 | 2021-08-18 |              21 |
|-----|--------|------------|-----------------|
|  88 |    150 | 2021-07-25 |              20 |
|-----|--------|------------|-----------------|
|  89 |   1752 | 2021-07-21 |              21 |
|-----|--------|------------|-----------------|
|  90 |    200 | 2021-06-21 |              20 |
|-----|--------|------------|-----------------|
