|----|------------|------------|--------|
| id | start_date | end_date   | amount |
|----|------------|------------|--------|
|  2 | 2021-08-09 | 2021-08-22 |   1500 |
|----|------------|------------|--------|
|  3 | 2021-08-23 | 2021-09-05 |   1500 |
|----|------------|------------|--------|
|  4 | 2021-09-06 | 2021-09-19 |   1500 |
|----|------------|------------|--------|
|  5 | 2021-09-20 | 2021-10-03 |   1100 |
|----|------------|------------|--------|
|  6 | 2021-10-04 | 2021-10-17 |   1500 |
|----|------------|------------|--------|
|  7 | 2021-10-18 | 2021-10-31 |   1600 |
|----|------------|------------|--------|
|  8 | 2021-11-01 | 2021-11-14 |   1138 |
|----|------------|------------|--------|
|  9 | 2021-11-15 | 2021-11-28 |   1500 |
|----|------------|------------|--------|
| 10 | 2021-11-29 | 2021-12-12 |   1100 |
|----|------------|------------|--------|
| 11 | 2021-12-13 | 2021-12-26 |   1500 |
|----|------------|------------|--------|
| 12 | 2021-12-27 | 2022-01-09 |   1100 |
|----|------------|------------|--------|
| 13 | 2022-01-10 | 2022-01-23 |   1100 |
|----|------------|------------|--------|
| 14 | 2022-01-24 | 2022-02-06 |   1100 |
|----|------------|------------|--------|
| 15 | 2022-02-07 | 2022-02-20 |   1100 |
|----|------------|------------|--------|
| 16 | 2022-02-21 | 2022-03-06 |   1100 |
|----|------------|------------|--------|
| 17 | 2022-03-07 | 2022-03-20 |   1100 |
|----|------------|------------|--------|
| 18 | 2022-03-21 | 2022-04-03 |   1100 |
|----|------------|------------|--------|
| 19 | 2022-04-04 | 2022-04-17 |   1100 |
|----|------------|------------|--------|
| 20 | 2022-04-18 | 2022-05-01 |   1100 |
|----|------------|------------|--------|
| 21 | 2022-05-02 | 2022-05-15 |   1100 |
|----|------------|------------|--------|
| 22 | 2022-05-16 | 2022-05-29 |   1100 |
|----|------------|------------|--------|
| 23 | 2022-05-30 | 2022-06-12 |   1100 |
|----|------------|------------|--------|
| 24 | 2022-06-13 | 2022-06-26 |   1100 |
|----|------------|------------|--------|
| 25 | 2022-06-27 | 2022-07-10 |   1150 |
|----|------------|------------|--------|
