|-----|--------|-------------|---------|
| id  | amount | interval_id | user_id |
|-----|--------|-------------|---------|
| 206 |     16 |          24 | MAL0001 |
|-----|--------|-------------|---------|
| 207 |    383 |          24 | SUP0001 |
|-----|--------|-------------|---------|
| 208 |    363 |          24 | ANU0001 |
|-----|--------|-------------|---------|
| 209 |    338 |          24 | MAI0001 |
|-----|--------|-------------|---------|
| 210 |     20 |          23 | MAL0001 |
|-----|--------|-------------|---------|
| 211 |    449 |          23 | SUP0001 |
|-----|--------|-------------|---------|
| 212 |    271 |          23 | ANU0001 |
|-----|--------|-------------|---------|
| 213 |    360 |          23 | MAI0001 |
|-----|--------|-------------|---------|
| 214 |     21 |          22 | MAL0001 |
|-----|--------|-------------|---------|
| 215 |    474 |          22 | SUP0001 |
|-----|--------|-------------|---------|
| 216 |    294 |          22 | ANU0001 |
|-----|--------|-------------|---------|
| 217 |    310 |          22 | MAI0001 |
|-----|--------|-------------|---------|
| 218 |     21 |          21 | MAL0001 |
|-----|--------|-------------|---------|
| 219 |    472 |          21 | SUP0001 |
|-----|--------|-------------|---------|
| 220 |    253 |          21 | ANU0001 |
|-----|--------|-------------|---------|
| 221 |    354 |          21 | MAI0001 |
|-----|--------|-------------|---------|
| 222 |    329 |          20 | MAL0001 |
|-----|--------|-------------|---------|
| 223 |    424 |          20 | SUP0001 |
|-----|--------|-------------|---------|
| 224 |    114 |          20 | ANU0001 |
|-----|--------|-------------|---------|
| 225 |    249 |          20 | MAI0001 |
|-----|--------|-------------|---------|
| 226 |    282 |          19 | MAL0001 |
|-----|--------|-------------|---------|
| 227 |    511 |          19 | SUP0001 |
|-----|--------|-------------|---------|
| 228 |     88 |          19 | ANU0001 |
|-----|--------|-------------|---------|
| 229 |    219 |          19 | MAI0001 |
|-----|--------|-------------|---------|
| 230 |     12 |          18 | MAL0001 |
|-----|--------|-------------|---------|
| 231 |    553 |          18 | SUP0001 |
|-----|--------|-------------|---------|
| 232 |    133 |          18 | ANU0001 |
|-----|--------|-------------|---------|
| 233 |    402 |          18 | MAI0001 |
|-----|--------|-------------|---------|
| 234 |    287 |          17 | MAL0001 |
|-----|--------|-------------|---------|
| 235 |    319 |          17 | SUP0001 |
|-----|--------|-------------|---------|
| 236 |    356 |          17 | ANU0001 |
|-----|--------|-------------|---------|
| 237 |    420 |          17 | MAI0001 |
|-----|--------|-------------|---------|
| 238 |    229 |          16 | MAL0001 |
|-----|--------|-------------|---------|
| 239 |    363 |          16 | SUP0001 |
|-----|--------|-------------|---------|
| 240 |     65 |          16 | ANU0001 |
|-----|--------|-------------|---------|
| 241 |    445 |          16 | MAI0001 |
|-----|--------|-------------|---------|
| 242 |    386 |          15 | MAL0001 |
|-----|--------|-------------|---------|
| 243 |    331 |          15 | SUP0001 |
|-----|--------|-------------|---------|
| 244 |     58 |          15 | ANU0001 |
|-----|--------|-------------|---------|
| 245 |    324 |          15 | MAI0001 |
|-----|--------|-------------|---------|
| 246 |    427 |          14 | MAL0001 |
|-----|--------|-------------|---------|
| 247 |    374 |          14 | SUP0001 |
|-----|--------|-------------|---------|
| 248 |    215 |          14 | ANU0001 |
|-----|--------|-------------|---------|
| 249 |     84 |          14 | MAI0001 |
|-----|--------|-------------|---------|
| 250 |      0 |          13 | MAL0001 |
|-----|--------|-------------|---------|
| 251 |    550 |          13 | SUP0001 |
|-----|--------|-------------|---------|
| 252 |    550 |          13 | ANU0001 |
|-----|--------|-------------|---------|
| 253 |      0 |          13 | MAI0001 |
|-----|--------|-------------|---------|
| 254 |    477 |          12 | MAL0001 |
|-----|--------|-------------|---------|
| 255 |    432 |          12 | SUP0001 |
|-----|--------|-------------|---------|
